"(4, 4)",1000.0000531673431,,219707464,
0,272.5046908855438,True,60777885,6
1,297.8302447795868,True,66210823,6
2,351.11954259872437,True,76219680,6
3,1000.0000462532043,,212712394,
4,638.8409678936005,True,143632817,9
5,829.940267086029,True,184392257,9
6,1000.0000550746918,,217532891,
7,172.40009212493896,True,37135864,3
8,257.794860124588,True,58787840,6
9,1000.0000476837158,,218298110,
10,228.58621096611023,True,49337004,6
11,188.41466212272644,True,40920369,6
12,305.67430305480957,False,69040138,
13,38.99375796318054,True,9548466,3
14,57.70542907714844,True,14623702,3
15,155.27532315254211,True,36566622,3
